epoch	10.0.0.220:ph/prog	10.0.0.221:ph/prog	10.0.0.222:ph/prog	10.0.0.223:ph/prog
1788095212.498	0/1	0/1	0/1	0/1
1788095212.537	0/1	0/1	0/1	0/1
1788095212.575	0/1	0/1	0/1	0/1
1788095212.614	0/1	0/1	0/1	0/1
1788095212.670	0/1	0/1	0/1	0/1
1788095212.715	0/1	0/1	0/1	0/1
1788095212.766	0/1	0/1	0/1	0/1
1788095212.810	0/1	0/1	0/1	0/1
1788095212.853	0/1	0/1	0/1	0/1
1788095212.895	0/1	0/1	0/1	0/1
1788095212.936	0/1	0/1	0/1	0/1
1788095212.978	0/1	0/1	0/1	0/1
1788095213.019	0/1	0/1	0/1	0/1
1788095213.060	0/1	0/1	0/1	0/1
1788095213.107	0/1	0/1	0/1	0/1
1788095213.150	0/1	0/1	0/1	0/1
1788095213.194	0/1	0/1	0/1	0/1
1788095213.239	0/1	0/1	0/1	0/1
1788095213.282	0/1	0/1	0/1	0/1
1788095213.343	0/1	0/1	0/1	0/1
1788095213.383	0/1	0/1	0/1	0/1
1788095213.428	0/1	0/1	0/1	0/1
1788095213.469	0/1	0/1	0/1	0/1
1788095213.511	0/1	0/1	0/1	0/1
1788095213.554	0/1	0/1	0/1	0/1
1788095213.595	0/1	0/1	0/1	0/1
1788095213.638	0/1	0/1	0/1	0/1
1788095213.682	0/1	0/1	0/1	0/1
1788095213.730	0/1	0/1	0/1	0/1
1788095213.784	0/1	0/1	0/1	0/1
1788095213.841	0/1	0/1	0/1	0/1
1788095213.887	0/1	0/1	0/1	0/1
1788095213.929	0/1	0/1	0/1	0/1
1788095213.972	0/1	0/1	0/1	0/1
1788095214.020	0/1	0/1	0/1	0/1
1788095214.062	0/1	0/1	0/1	0/1
1788095214.105	0/1	0/1	0/1	0/1
1788095214.149	0/1	0/1	0/1	0/1
1788095214.191	0/1	0/1	0/1	0/1
1788095214.234	0/1	0/1	0/1	0/1
1788095214.292	0/1	0/1	0/1	0/1
1788095214.370	0/1	0/1	0/1	0/1
1788095214.417	0/1	0/1	0/1	0/1
1788095214.461	0/1	0/1	0/1	0/1
1788095214.506	0/1	0/1	0/1	0/1
1788095214.548	0/1	0/1	0/1	0/1
1788095214.590	0/1	0/1	0/1	0/1
1788095214.633	0/1	0/1	0/1	0/1
1788095214.677	0/1	0/1	0/1	0/1
1788095214.720	0/1	0/1	0/1	0/1
1788095214.762	0/1	0/1	0/1	0/1
1788095214.804	0/1	0/1	0/1	0/1
1788095214.846	0/1	0/1	0/1	0/1
1788095214.889	0/1	0/1	0/1	0/1
1788095214.931	0/1	0/1	0/1	0/1
1788095214.974	0/1	0/1	0/1	0/1
1788095215.016	0/1	0/1	0/1	0/1
1788095215.057	0/1	0/1	0/1	0/1
1788095215.100	0/1	0/1	0/1	0/1
1788095215.141	0/1	0/1	0/1	0/1
1788095215.184	0/1	0/1	0/1	0/1
1788095215.228	0/1	0/1	0/1	0/1
1788095215.273	0/1	0/1	0/1	0/1
1788095215.338	0/1	0/1	0/1	0/1
1788095215.382	0/1	0/1	0/1	0/1
1788095215.423	0/1	0/1	0/1	0/1
1788095215.468	0/1	0/1	0/1	0/1
1788095215.510	0/1	0/1	0/1	0/1
1788095215.552	0/1	0/1	0/1	0/1
1788095215.593	0/1	0/1	0/1	0/1
1788095215.635	0/1	0/1	0/1	0/1
1788095215.676	0/1	0/1	0/1	0/1
1788095215.720	0/1	0/1	0/1	0/1
1788095215.762	0/1	0/1	0/1	0/1
1788095215.805	0/1	0/1	0/1	0/1
1788095215.848	0/1	0/1	0/1	0/1
1788095215.889	0/1	0/1	0/1	0/1
1788095215.931	0/1	0/1	0/1	0/1
1788095215.973	0/1	0/1	0/1	0/1
1788095216.013	0/1	0/1	0/1	0/1
1788095216.055	0/1	0/1	0/1	0/1
1788095216.097	0/1	0/1	0/1	0/1
1788095216.140	0/1	0/1	0/1	0/1
1788095216.182	0/1	0/1	0/1	0/1
1788095216.224	0/1	0/1	0/1	0/1
1788095216.270	0/1	0/1	0/1	0/1
1788095216.339	0/1	0/1	0/1	0/1
1788095216.379	0/1	0/1	0/1	0/1
1788095216.418	0/1	0/1	0/1	0/1
1788095216.456	0/1	0/1	0/1	0/1
1788095216.496	0/1	0/1	0/1	0/1
1788095216.535	0/1	0/1	0/1	0/1
1788095216.574	0/1	0/1	0/1	0/1
1788095216.612	0/1	0/1	0/1	0/1
1788095216.657	0/1	0/1	0/1	0/1
1788095216.695	0/1	0/1	0/1	0/1
1788095216.738	0/1	0/1	0/1	0/1
1788095216.784	0/1	0/1	0/1	0/1
1788095216.825	0/1	0/1	0/1	0/1
1788095216.867	0/1	0/1	0/1	0/1
1788095216.909	0/1	0/1	0/1	0/1
1788095216.951	0/1	0/1	0/1	0/1
1788095216.992	0/1	0/1	0/1	0/1
1788095217.036	0/1	0/1	0/1	0/1
1788095217.075	0/1	0/1	0/1	0/1
1788095217.123	0/1	0/1	0/1	0/1
1788095217.178	0/1	0/1	0/1	0/1
1788095217.223	0/1	0/1	0/1	0/1
1788095217.265	0/1	0/1	0/1	0/1
1788095217.352	0/1	0/1	0/1	0/1
1788095217.391	0/1	0/1	0/1	0/1
1788095217.430	0/1	0/1	0/1	0/1
1788095217.469	0/1	0/1	0/1	0/1
1788095217.512	0/1	0/1	0/1	0/1
1788095217.551	0/1	0/1	0/1	0/1
1788095217.590	0/1	0/1	0/1	0/1
1788095217.628	0/1	0/1	0/1	0/1
1788095217.675	0/1	0/1	0/1	0/1
1788095217.721	0/1	0/1	0/1	0/1
1788095217.763	0/1	0/1	0/1	0/1
1788095217.805	0/1	0/1	0/1	0/1
1788095217.848	0/1	0/1	0/1	0/1
1788095217.889	0/1	0/1	0/1	0/1
1788095217.930	0/1	0/1	0/1	0/1
1788095217.980	0/1	0/1	0/1	0/1
1788095218.035	0/1	0/1	0/1	0/1
1788095218.082	0/1	0/1	0/1	0/1
1788095218.121	0/1	0/1	0/1	0/1
1788095218.161	0/1	0/1	0/1	0/1
1788095218.206	0/1	0/1	0/1	0/1
1788095218.248	0/1	0/1	0/1	0/1
1788095218.290	0/1	0/1	0/1	0/1
1788095218.350	0/1	0/1	0/1	0/1
1788095218.392	0/1	0/1	0/1	0/1
1788095218.432	0/1	0/1	0/1	0/1
1788095218.471	0/1	0/1	0/1	0/1
1788095218.509	0/1	0/1	0/1	0/1
1788095218.548	0/1	0/1	0/1	0/1
1788095218.587	0/1	0/1	0/1	0/1
1788095218.626	0/1	0/1	0/1	0/1
1788095218.670	0/1	0/1	0/1	0/1
1788095218.711	0/1	0/1	0/1	0/1
1788095218.752	0/1	0/1	0/1	0/1
1788095218.792	0/1	0/1	0/1	0/1
1788095218.838	0/1	0/1	0/1	0/1
1788095218.880	0/1	0/1	0/1	0/1
1788095218.922	0/1	0/1	0/1	0/1
1788095218.966	0/1	0/1	0/1	0/1
1788095219.007	0/1	0/1	0/1	0/1
1788095219.048	0/1	0/1	0/1	0/1
1788095219.090	0/1	0/1	0/1	0/1
1788095219.132	0/1	0/1	0/1	0/1
1788095219.177	0/1	0/1	0/1	0/1
1788095219.219	0/1	0/1	0/1	0/1
1788095219.261	0/1	0/1	0/1	0/1
1788095219.303	0/1	0/1	0/1	0/1
1788095219.376	0/1	0/1	0/1	0/1
1788095219.418	0/1	0/1	0/1	0/1
1788095219.462	0/1	0/1	0/1	0/1
1788095219.506	0/1	0/1	0/1	0/1
1788095219.548	0/1	0/1	0/1	0/1
1788095219.593	0/1	0/1	0/1	0/1
1788095219.636	0/1	0/1	0/1	0/1
1788095219.679	0/1	0/1	0/1	0/1
1788095219.723	0/1	0/1	0/1	0/1
1788095219.766	0/1	0/1	0/1	0/1
1788095219.808	0/1	0/1	0/1	0/1
1788095219.851	0/1	0/1	0/1	0/1
1788095219.897	0/1	0/1	0/1	0/1
1788095219.938	0/1	0/1	0/1	0/1
1788095219.980	0/1	0/1	0/1	0/1
1788095220.021	0/1	0/1	0/1	0/1
1788095220.067	0/1	0/1	0/1	0/1
1788095220.110	0/1	0/1	0/1	0/1
1788095220.176	0/1	0/1	0/1	0/1
1788095220.220	0/1	0/1	0/1	0/1
1788095220.262	0/1	0/1	0/1	0/1
1788095220.336	0/1	0/1	0/1	0/1
1788095220.386	0/1	0/1	0/1	0/1
1788095220.431	0/1	0/1	0/1	0/1
1788095220.472	0/1	0/1	0/1	0/1
1788095220.515	0/1	0/1	0/1	0/1
1788095220.556	0/1	0/1	0/1	0/1
1788095220.599	0/1	0/1	0/1	0/1
1788095220.642	0/1	0/1	0/1	0/1
1788095220.684	0/1	0/1	0/1	0/1
1788095220.727	0/1	0/1	0/1	0/1
1788095220.772	0/1	0/1	0/1	0/1
1788095220.817	0/1	0/1	0/1	0/1
1788095220.860	0/1	0/1	0/1	0/1
1788095220.902	0/1	0/1	0/1	0/1
1788095220.944	0/1	0/1	0/1	0/1
1788095220.986	0/1	0/1	0/1	0/1
1788095221.029	0/1	0/1	0/1	0/1
1788095221.071	0/1	0/1	0/1	0/1
1788095221.114	0/1	0/1	0/1	0/1
1788095221.154	0/1	0/1	0/1	0/1
1788095221.196	0/1	0/1	0/1	0/1
1788095221.237	0/1	0/1	0/1	0/1
1788095221.281	0/1	0/1	0/1	0/1
1788095221.342	0/1	0/1	0/1	0/1
1788095221.384	0/1	0/1	0/1	0/1
1788095221.426	0/1	0/1	0/1	0/1
1788095221.469	0/1	0/1	0/1	0/1
1788095221.511	0/1	0/1	0/1	0/1
1788095221.554	0/1	0/1	0/1	0/1
1788095221.597	0/1	0/1	0/1	0/1
1788095221.638	0/1	0/1	0/1	0/1
1788095221.681	0/1	0/1	0/1	0/1
1788095221.722	0/1	0/1	0/1	0/1
1788095221.771	0/1	0/1	0/1	0/1
1788095221.810	0/1	0/1	0/1	0/1
1788095221.849	0/1	0/1	0/1	0/1
1788095221.889	0/1	0/1	0/1	0/1
1788095221.927	0/1	0/1	0/1	0/1
1788095221.967	0/1	0/1	0/1	0/1
1788095222.003	0/1	0/1	0/1	0/1
1788095222.035	0/1	0/1	0/1	0/1
1788095222.065	0/1	0/1	0/1	0/1
1788095222.091	0/1	0/1	0/1	0/1
1788095222.115	0/1	0/1	0/1	0/1
1788095222.137	0/1	0/1	0/1	0/1
1788095222.158	0/1	0/1	0/1	0/1
1788095222.177	0/1	0/1	0/1	0/1
1788095222.195	0/1	0/1	0/1	0/1
1788095222.211	0/1	0/1	0/1	0/1
1788095222.227	0/1	0/1	0/1	0/1
1788095222.243	0/1	0/1	0/1	0/1
